Incident ID,Company Name,Industry,Attack Type,Date of Incident,Breach Size (No. of Records),Financial Loss (USD),Country,Attack Vector,Mitigation Time (Days)
9207,Thompson Group,Retail,Denial of Service,2019-05-10,7097801.0,7480551.4350000005,Netherlands,Insider Threat,11.200000000000001
9208,Hernandez-Frank,Tech,Data Breach,2018-09-09,2063783.0,964708.4,Belgium,Phishing,48.0
9209,Davis and Sons,Healthcare,Data Breach,2019-11-25,2487322.0,9906491.84,Belgium,Compromised Vendor,73.5
9210,"Smith, Carter and Baker",Telecommunications,Supply Chain Attack,2018-12-21,6904398.0,4364968.32,Spain,Insider Threat,64.9
9211,"Blake, Williams and Ray",Manufacturing,Denial of Service,2019-06-20,,3725951.697,Netherlands,Phishing,60.199999999999996
9212,Lee LLC,Manufacturing,Data Breach,2018-03-01,277672.0,1154493.171,Sweden,Phishing,37.8
9213,Ortiz Ltd,Healthcare,Ransomware,2018-08-23,2516931.0,2354654.84,France,Phishing,60.0
9214,Bradley Ltd,Finance,Supply Chain Attack,2019-07-07,9180681.0,3619018.42,Spain,DDoS Attack,13.0
9215,Kim Ltd,Retail,Ransomware,2019-06-04,2507581.0,3066393.6149999998,Italy,Compromised Vendor,26.400000000000002
9216,Chapman LLC,Manufacturing,Data Breach,2019-07-03,2399972.0,2453385.012,UK,Phishing,9.799999999999999
9217,Rosario-King,Telecommunications,Phishing,2019-10-09,9017260.0,1736810.328,France,Compromised Vendor,30.800000000000004
9218,"Russo, Martin and Reed",Healthcare,Supply Chain Attack,2018-06-13,,5944126.98,Spain,DDoS Attack,87.0
9219,"Coffey, Young and Johnson",Manufacturing,Data Breach,2019-06-03,2592143.0,382748.99,Belgium,Compromised Vendor,36.4
9220,Alexander and Sons,Telecommunications,Ransomware,2018-03-03,,4606037.616,Belgium,Insider Threat,7.700000000000001
9221,Mitchell LLC,Manufacturing,Phishing,2018-07-30,1326950.0,4423183.9860000005,Belgium,DDoS Attack,84.0
9222,Harris Ltd,Manufacturing,Data Breach,2018-03-07,2132831.0,3658842.9020000002,Denmark,Phishing,43.4
9223,"Smith, Fisher and Kerr",Manufacturing,Malware,2018-01-10,,2674708.088,Sweden,DDoS Attack,58.8
9224,"Miller, Dawson and Benitez",Healthcare,Phishing,2019-11-09,1085338.0,9909685.04,Germany,Spear Phishing,90.0
9225,Morgan Inc,Healthcare,Data Breach,2018-09-16,,2618794.84,UK,DDoS Attack,15.0
9226,"Miller, Bright and Brown",Energy,Data Breach,2018-12-05,3340777.0,3492292.32,Spain,DDoS Attack,30.0
9227,Campbell LLC,Retail,Data Breach,2019-11-29,2406709.0,2522464.455,Belgium,Phishing,23.200000000000003
9228,Austin-Walker,Retail,Denial of Service,2018-05-08,5117592.0,1486354.605,Belgium,Phishing,35.2
9229,"Harrison, Jones and Schmidt",Retail,Data Breach,2018-05-05,1643558.0,5026760.46,UK,Phishing,17.6
9230,"Calderon, Mooney and Marquez",Healthcare,Ransomware,2018-10-02,1524997.0,6612880.36,Sweden,Compromised Vendor,46.5
9231,Lamb Ltd,Manufacturing,Malware,2018-04-09,5118627.0,1833198.6790000002,Italy,Phishing,32.199999999999996
9232,Brown-Gutierrez,Healthcare,Malware,2019-11-03,4035194.0,3581105.02,Netherlands,Compromised Vendor,22.5
9233,Coleman-Hancock,Retail,Ransomware,2019-01-07,9401619.0,5437752.135,Belgium,Compromised Vendor,40.0
9234,Steele Group,Tech,Malware,2018-10-14,250503.0,3303678.61,Spain,Phishing,31.0
9235,"Myers, Campbell and Poole",Tech,Ransomware,2018-03-02,1057500.0,4307697.71,Belgium,DDoS Attack,19.0
9236,White-Carlson,Retail,Data Breach,2018-03-31,5100579.0,7086970.17,Spain,DDoS Attack,34.4
9237,"Maldonado, Mills and Smith",Manufacturing,Malware,2019-09-17,753654.0,1175013.9440000001,Netherlands,Compromised Vendor,23.799999999999997
9238,"Barnes, Freeman and Knight",Healthcare,Ransomware,2018-12-27,1440566.0,7021489.76,France,Compromised Vendor,90.0
9239,"James, Mcconnell and Brooks",Healthcare,Supply Chain Attack,2019-01-26,3774531.0,1326606.78,Italy,Compromised Vendor,39.0
9240,Galloway-Hill,Healthcare,Ransomware,2018-03-03,3303842.0,2929135.2,Belgium,Phishing,55.5
9241,"Hughes, Hammond and Ward",Retail,Denial of Service,2019-10-29,7940051.0,1854056.37,Netherlands,Insider Threat,35.2
9242,Rivera-Hamilton,Retail,Malware,2019-10-24,1889379.0,4980807.33,Belgium,Phishing,44.800000000000004
9243,"Hunter, Diaz and Stewart",Healthcare,Malware,2018-12-08,9026831.0,7193539.48,Sweden,DDoS Attack,60.0
9244,Irwin Inc,Tech,Supply Chain Attack,2019-07-27,,251509.43,Belgium,DDoS Attack,41.0
9245,Hall-Cruz,Manufacturing,Supply Chain Attack,2018-08-19,,5807008.194,France,DDoS Attack,8.399999999999999
9246,Gomez Inc,Manufacturing,Ransomware,2019-04-11,4904824.0,5739061.406,Sweden,DDoS Attack,12.6
9247,"Sanchez, Adams and Braun",Retail,Ransomware,2019-06-09,1843164.0,5528646.795,Spain,DDoS Attack,32.0
9248,"Michael, Hickman and Barrera",Telecommunications,Data Breach,2018-06-01,1895913.0,2330672.796,Sweden,Compromised Vendor,9.9
9249,Stevens Ltd,Healthcare,Supply Chain Attack,2018-06-27,9477233.0,6760761.28,Belgium,Phishing,43.5
9250,Barnett Ltd,Telecommunications,Data Breach,2018-12-27,,1345865.172,Belgium,Phishing,25.3
9251,Hooper-Smith,Manufacturing,Data Breach,2019-04-23,2551325.0,2964281.138,UK,Phishing,75.6
9252,"Mitchell, Martinez and Cortez",Retail,Data Breach,2018-12-31,3544006.0,3805612.4699999997,Spain,Phishing,36.800000000000004
9253,Graves LLC,Tech,Ransomware,2018-09-07,700081.0,1885127.42,UK,Compromised Vendor,45.0
9254,"Coleman, Clark and Jones",Healthcare,Data Breach,2018-02-01,9051216.0,920178.56,Spain,Phishing,58.5
9255,"Brown, Guzman and Ellis",Healthcare,Phishing,2018-09-03,5263350.0,9283610.82,Belgium,Compromised Vendor,58.5
9256,Ruiz-Kim,Manufacturing,Malware,2018-08-24,946796.0,3947705.996,Belgium,Phishing,58.8
9257,Thompson and Sons,Tech,Ransomware,2019-04-28,2295872.0,3626643.05,Netherlands,Insider Threat,59.0
9258,Garcia Inc,Healthcare,Ransomware,2018-06-25,9697819.0,3610441.38,Italy,Compromised Vendor,19.5
9259,"Williams, Craig and Robinson",Manufacturing,Supply Chain Attack,2018-05-11,,5088852.0540000005,UK,Compromised Vendor,84.0
9260,West PLC,Retail,Ransomware,2018-07-23,2884796.0,3429077.6100000003,UK,Phishing,26.400000000000002
9261,Davis LLC,Manufacturing,Ransomware,2019-10-13,4440110.0,135618.405,France,DDoS Attack,44.8
9262,Graves PLC,Retail,Phishing,2019-08-09,9605896.0,4053145.005,Belgium,DDoS Attack,28.8
9263,Wiggins-Mason,Retail,Phishing,2019-03-01,,889840.3049999999,Netherlands,DDoS Attack,20.0
9264,Fitzgerald-Dean,Retail,Malware,2018-02-20,7773764.0,5136115.005,Netherlands,Compromised Vendor,24.0
9265,"Sherman, Collins and Cole",Healthcare,Supply Chain Attack,2019-12-08,9174915.0,9578285.36,Netherlands,Compromised Vendor,36.0
9266,"Walker, Yates and King",Manufacturing,Ransomware,2018-06-05,1894302.0,3831845.3030000003,UK,Phishing,54.599999999999994
9267,"Walker, Johnson and Wright",Telecommunications,Malware,2018-11-01,3569400.0,2769062.448,Netherlands,Compromised Vendor,42.900000000000006
9268,"Rodriguez, Neal and Smith",Retail,Data Breach,2018-05-16,,4734795.615,France,Phishing,24.0
9269,"Paul, Nelson and Chan",Manufacturing,Ransomware,2019-08-24,4839272.0,5636425.183999999,Italy,Phishing,79.8
9270,"Levy, Hernandez and Cook",Tech,Phishing,2018-10-23,,4168298.1,Belgium,Malware Infection,29.0
9271,Hall Inc,Retail,Ransomware,2018-05-14,7218977.0,5436488.46,Italy,Compromised Vendor,21.6
9272,Juarez-Hall,Manufacturing,Ransomware,2019-12-27,,1893037.809,Sweden,Phishing,19.599999999999998
9273,Newman-Petersen,Tech,Data Breach,2019-04-25,2562341.0,4307294.35,Belgium,Compromised Vendor,25.0
9274,"Williams, Allen and Hurley",Tech,Ransomware,2018-07-09,4273293.0,2965985.77,Netherlands,Phishing,5.0
9275,"Schwartz, Williamson and Kelley",Tech,Data Breach,2018-01-06,2602117.0,1313864.85,Sweden,DDoS Attack,47.0
9276,Ho-Walter,Retail,Data Breach,2018-02-26,7431785.0,5611049.88,UK,Phishing,21.6
9277,Anderson and Sons,Manufacturing,Data Breach,2019-11-01,4961098.0,5269875.936000001,Belgium,Compromised Vendor,72.8
9278,Giles Ltd,Finance,Ransomware,2019-10-05,2153209.0,1768006.61,Sweden,Phishing,49.0
9279,Guerrero-Rich,Manufacturing,Ransomware,2019-03-09,8312816.0,5627861.3950000005,UK,Phishing,57.4
9280,"Hall, Smith and Taylor",Healthcare,Malware,2018-12-30,8485988.0,5153510.22,Sweden,Phishing,51.0
9281,Jarvis-Brown,Telecommunications,Ransomware,2018-09-04,8127202.0,2965455.048,UK,Phishing,60.50000000000001
9282,"Chen, Hart and Fleming",Retail,Ransomware,2019-09-06,4036440.0,6292816.305,Italy,Compromised Vendor,12.8
9283,"Martin, Thompson and Cole",Tech,Phishing,2019-02-12,4712326.0,3239853.58,Spain,Compromised Vendor,12.0
9284,Scott and Sons,Telecommunications,Malware,2018-05-06,,4202059.884,Belgium,Phishing,62.7
9285,Lane-Martin,Manufacturing,Malware,2019-02-24,,3799832.348,Belgium,DDoS Attack,37.8
9286,"Lee, Brown and Meyer",Manufacturing,Ransomware,2018-05-09,6243745.0,816033.6080000001,Spain,DDoS Attack,77.0
9287,Kennedy-Chavez,Healthcare,Malware,2019-08-25,,9031784.2,UK,DDoS Attack,46.5
9288,Jackson-Riley,Manufacturing,Ransomware,2018-01-05,5454180.0,1928962.4510000001,Spain,Phishing,65.8
9289,Brown and Sons,Retail,Ransomware,2019-12-12,2961457.0,5911635.405,UK,DDoS Attack,40.0
9290,"Hughes, Schwartz and Edwards",Healthcare,Supply Chain Attack,2018-11-30,,9394753.42,Sweden,Phishing,75.0
9291,Watts PLC,Manufacturing,Denial of Service,2019-10-11,7176105.0,4882878.793,Sweden,Phishing,65.8
9292,Mcdonald-Wilson,Manufacturing,Denial of Service,2018-01-18,9762664.0,5923466.731000001,UK,Phishing,22.4
9293,"Kennedy, Wilson and Martinez",Tech,Ransomware,2018-06-16,810893.0,3848278.18,Belgium,Compromised Vendor,41.0
9294,Garcia Group,Healthcare,Ransomware,2019-08-31,792473.0,5752994.9,Spain,DDoS Attack,12.0
9295,Smith Inc,Retail,Ransomware,2019-10-17,9915990.0,4692915.8100000005,Italy,Compromised Vendor,41.6
9296,West-Sanders,Manufacturing,Supply Chain Attack,2019-10-17,8270404.0,5205324.8780000005,Netherlands,Compromised Vendor,82.6
9297,"Reed, Carrillo and Cruz",Healthcare,Phishing,2019-11-17,6828491.0,8652088.36,UK,Compromised Vendor,19.5
9298,Miller-Flores,Retail,Ransomware,2018-10-29,3567374.0,1183541.835,Denmark,Compromised Vendor,15.200000000000001
9299,Warren-Davis,Manufacturing,Ransomware,2018-11-12,4662263.0,3828892.873,Netherlands,Phishing,64.39999999999999
9300,Munoz LLC,Manufacturing,Data Breach,2019-04-05,6855894.0,3330923.323,Netherlands,Insider Threat,84.0
9301,Davidson-Moss,Telecommunications,Ransomware,2019-06-09,2918105.0,5214385.6559999995,Spain,Phishing,28.6
9302,"Johns, Williams and Hardy",Tech,Denial of Service,2018-08-22,1280493.0,338637.86,Belgium,DDoS Attack,37.0
9303,Gutierrez-Rowe,Healthcare,Ransomware,2019-10-21,6476434.0,7808470.98,Sweden,Compromised Vendor,79.5
9304,Hall Ltd,Manufacturing,Ransomware,2019-10-09,6291345.0,5047577.093,Belgium,Phishing,39.199999999999996
9305,"Cardenas, Rios and Serrano",Retail,Ransomware,2019-02-02,3161828.0,5907959.37,Spain,DDoS Attack,20.0
9306,"Hickman, Anderson and Rogers",Retail,Ransomware,2018-08-02,7657320.0,2102277.765,Spain,Insider Threat,18.400000000000002
9307,Rangel Inc,Healthcare,Data Breach,2018-11-20,774181.0,4873227.12,Belgium,Phishing,82.5
9308,Fisher-Roberts,Retail,Malware,2018-08-06,,4701667.949999999,Belgium,Compromised Vendor,9.600000000000001
9309,"Butler, Alvarado and Baker",Manufacturing,Ransomware,2019-03-02,1137878.0,4228162.653,Sweden,DDoS Attack,78.39999999999999
9310,Bolton LLC,Healthcare,Denial of Service,2018-12-11,3306954.0,6656996.7,UK,DDoS Attack,43.5
9311,Manning Group,Manufacturing,Data Breach,2019-08-19,,1851616.039,Netherlands,Phishing,39.199999999999996
9312,"Jones, Graham and Glover",Manufacturing,Ransomware,2019-10-03,5166501.0,880657.557,UK,DDoS Attack,40.599999999999994
9313,"Mitchell, Todd and Orozco",Healthcare,Denial of Service,2018-11-08,,9402832.44,UK,DDoS Attack,42.0
9314,"Martin, Clark and Roberts",Healthcare,Ransomware,2019-12-28,4081673.0,5661189.14,Italy,Phishing,63.0
9315,"Burns, Montoya and Dougherty",Telecommunications,Phishing,2018-05-31,5998974.0,3245661.276,Belgium,Phishing,46.2
9316,"Johnson, Martin and Gonzales",Manufacturing,Data Breach,2019-12-14,6905136.0,3018616.237,Poland,Phishing,44.8
9317,Sherman LLC,Manufacturing,Data Breach,2019-06-28,4185781.0,1050257.975,UK,Compromised Vendor,26.599999999999998
9318,Small-Brown,Healthcare,Data Breach,2019-07-15,,1442153.16,Italy,Compromised Vendor,87.0
9319,Welch LLC,Telecommunications,Data Breach,2018-02-26,9293417.0,496094.544,Germany,Phishing,27.500000000000004
9320,Johnson PLC,Retail,Phishing,2018-07-29,2383603.0,5679716.055,Sweden,Compromised Vendor,31.200000000000003
9321,Robles-Bradford,Healthcare,Data Breach,2018-09-19,65293.0,3541051.16,Italy,Insider Threat,70.5
9322,"Harris, Ward and Turner",Manufacturing,Data Breach,2018-01-29,5873475.0,5077997.925,Belgium,DDoS Attack,32.199999999999996
9323,Welch LLC,Retail,Supply Chain Attack,2019-08-01,4386959.0,1138174.98,Belgium,Compromised Vendor,25.6
9324,Barrett-Gordon,Healthcare,Data Breach,2019-06-26,553502.0,767440.18,Sweden,DDoS Attack,36.0
9325,"Schmidt, Johnson and Francis",Retail,Supply Chain Attack,2019-03-09,,1692741.465,Spain,DDoS Attack,16.8
9326,"Rose, Mckee and Lindsey",Retail,Phishing,2019-08-21,2184824.0,7331037.495,Denmark,Phishing,13.600000000000001
9327,"Sexton, Forbes and Mcmahon",Retail,Denial of Service,2018-04-18,7751332.0,4218653.61,Sweden,Phishing,45.6
9328,"Morales, Burton and Evans",Healthcare,Data Breach,2019-06-28,8318665.0,2259141.74,Germany,DDoS Attack,24.0
9329,"Fisher, Wallace and Mcconnell",Healthcare,Phishing,2018-12-23,,5809249.84,Belgium,Phishing,87.0
9330,"Johnson, Meyer and Lee",Finance,Data Breach,2019-10-20,,3616617.78,Belgium,Compromised Vendor,43.0
9331,"Hicks, Garcia and Schneider",Finance,Data Breach,2018-09-29,716620.0,3609391.39,Sweden,Malware Infection,21.0
9332,"Ramirez, Mcgee and Mosley",Manufacturing,Ransomware,2018-08-24,8941820.0,5944967.3270000005,Denmark,Spear Phishing,46.199999999999996
9333,Young Inc,Manufacturing,Ransomware,2019-02-15,5442930.0,4222754.263,Denmark,Compromised Vendor,72.8
9334,"Hernandez, Carpenter and Taylor",Healthcare,Data Breach,2018-06-24,,2259566.36,France,Malware Infection,37.5
9335,Lopez and Sons,Retail,Supply Chain Attack,2018-09-08,8219196.0,2061781.1099999999,France,DDoS Attack,10.4
9336,"Ritter, Nixon and Mcdaniel",Healthcare,Supply Chain Attack,2018-05-24,389343.0,4532384.78,Belgium,Compromised Vendor,45.0
9337,"Hernandez, Mcgee and Sanford",Tech,Ransomware,2018-09-19,8445037.0,236597.93,Netherlands,Phishing,46.0
9338,Gardner Group,Finance,Data Breach,2019-07-11,,829835.01,Spain,Phishing,48.0
9339,"Dixon, Boyd and Miller",Healthcare,Data Breach,2019-10-20,7749654.0,3409476.86,Sweden,Phishing,27.0
9340,Spears and Sons,Healthcare,Supply Chain Attack,2019-07-28,8321428.0,4041604.8,Belgium,Phishing,22.5
9341,Ortiz Ltd,Healthcare,Ransomware,2018-06-19,5900786.0,539367.62,France,Phishing,12.0
9342,Adams-Lewis,Retail,Data Breach,2019-06-24,3522251.0,1530444.375,Spain,Phishing,30.400000000000002
9343,Williams-Martin,Tech,Data Breach,2019-11-28,,1021475.85,Belgium,Phishing,54.0
9344,White PLC,Healthcare,Supply Chain Attack,2019-12-14,,1105863.82,UK,DDoS Attack,84.0
9345,Cole-Powell,Retail,Ransomware,2019-04-29,6414060.0,4272303.54,Belgium,Phishing,32.800000000000004
9346,Obrien-Phillips,Manufacturing,Supply Chain Attack,2019-08-04,6598300.0,5466576.297000001,Belgium,Phishing,46.199999999999996
9347,Valentine Group,Healthcare,Malware,2019-06-12,1660796.0,8299696.64,Sweden,Phishing,61.5
9348,Sanders-Roberts,Retail,Data Breach,2018-07-03,5602589.0,6420603.285,Italy,DDoS Attack,10.4
9349,Cardenas LLC,Retail,Ransomware,2019-12-05,5809802.0,1335305.8800000001,Belgium,Insider Threat,47.2
9350,Cooper Inc,Healthcare,Phishing,2019-05-23,7393758.0,7214991.1,Sweden,Insider Threat,64.5
9351,Monroe-Jones,Healthcare,Phishing,2018-02-21,827820.0,4467117.86,Belgium,Compromised Vendor,63.0
9352,Weaver-Fowler,Retail,Ransomware,2018-09-23,4927761.0,234288.81,UK,DDoS Attack,18.400000000000002
9353,Brown-Colon,Telecommunications,Malware,2018-09-27,5838376.0,2445539.928,Sweden,Spear Phishing,25.3
9354,"Brown, Brown and Morris",Healthcare,Supply Chain Attack,2018-09-08,,9531192.36,Belgium,Phishing,49.5
9355,"Clarke, Nelson and Mathis",Manufacturing,Data Breach,2018-03-24,7584420.0,5863880.373000001,Sweden,Phishing,18.2
9356,"Allen, Nicholson and Williams",Healthcare,Data Breach,2019-08-27,2837373.0,8571951.14,Sweden,Compromised Vendor,78.0
9357,"Young, Sanchez and Ingram",Telecommunications,Ransomware,2019-01-12,5708506.0,5330819.664,Belgium,Compromised Vendor,53.900000000000006
9358,Klein Ltd,Healthcare,Supply Chain Attack,2019-10-07,,7135944.74,Sweden,DDoS Attack,66.0
9359,Key-Mccarty,Healthcare,Data Breach,2018-11-05,6103686.0,5109885.36,UK,DDoS Attack,22.5
9360,Hamilton LLC,Telecommunications,Ransomware,2019-12-26,7372747.0,2096141.5919999997,Germany,Phishing,33.0
9361,"Scott, Garrett and Hale",Retail,Phishing,2018-04-05,460518.0,5002938.3149999995,Belgium,Compromised Vendor,46.400000000000006
9362,"Newman, Clark and Walker",Healthcare,Phishing,2018-01-24,5671535.0,7478169.52,Netherlands,Phishing,82.5
9363,Diaz-Stevens,Manufacturing,Ransomware,2018-08-21,5167164.0,1441854.154,Netherlands,Spear Phishing,7.0
9364,Gutierrez Inc,Healthcare,Ransomware,2019-03-28,1649353.0,9823884.4,Netherlands,Compromised Vendor,9.0
9365,Anderson Group,Healthcare,Data Breach,2019-01-05,,5381920.82,Spain,DDoS Attack,87.0
9366,Olson Ltd,Healthcare,Ransomware,2019-09-02,4197317.0,4617954.32,Italy,DDoS Attack,43.5
9367,Harrison-Davis,Retail,Ransomware,2019-09-08,6250350.0,1861247.2650000001,Italy,Phishing,32.0
9368,Hicks-Marsh,Tech,Data Breach,2019-03-12,7443786.0,4397683.12,Sweden,Phishing,57.0
9369,Booth Ltd,Retail,Ransomware,2018-05-31,6432826.0,3300396.96,UK,Compromised Vendor,26.400000000000002
9370,Robinson Inc,Manufacturing,Ransomware,2019-09-11,8174110.0,6387085.510000001,Belgium,Spear Phishing,7.0
9371,Brown-Mckee,Tech,Ransomware,2019-04-22,2629372.0,2246094.29,UK,Phishing,29.0
9372,Zimmerman and Sons,Manufacturing,Ransomware,2019-12-27,5697284.0,640454.568,Belgium,Insider Threat,84.0
9373,Clark Ltd,Healthcare,Phishing,2018-12-22,2037891.0,6039318.66,UK,Malware Infection,34.5
9374,Hahn-West,Retail,Phishing,2019-04-21,331288.0,1875975.87,UK,Phishing,29.6
9375,Gonzales-Thornton,Retail,Supply Chain Attack,2018-10-29,,3481358.1750000003,Spain,Spear Phishing,12.0
9376,Reeves-Morris,Tech,Malware,2018-09-07,8985915.0,3900547.77,Sweden,Phishing,20.0
9377,Hernandez Ltd,Manufacturing,Data Breach,2018-03-20,5068352.0,2293503.797,UK,Phishing,78.39999999999999
9378,Lawrence LLC,Healthcare,Data Breach,2019-11-28,6594306.0,1003755.58,Belgium,Compromised Vendor,16.5
9379,"Rich, Sheppard and Evans",Retail,Ransomware,2018-12-29,9153683.0,1714298.3250000002,Sweden,DDoS Attack,42.400000000000006
9380,Harrison-Singh,Retail,Supply Chain Attack,2018-01-09,4992687.0,5412645.2700000005,Netherlands,Spear Phishing,4.800000000000001
9381,Alvarez-Hawkins,Retail,Ransomware,2019-01-22,9938504.0,7209005.61,Poland,Phishing,36.800000000000004
9382,Dixon Ltd,Healthcare,Phishing,2019-07-21,4660657.0,7978332.86,Sweden,Phishing,51.0
9383,Nelson-Smith,Manufacturing,Ransomware,2019-05-09,,774767.799,UK,Phishing,65.8
9384,Martinez PLC,Tech,Ransomware,2019-12-03,4469273.0,4901729.79,UK,DDoS Attack,14.0
9385,Tyler-Collins,Retail,Phishing,2018-08-13,9894176.0,1999069.29,Belgium,Phishing,20.0
9386,Mcbride-Gonzalez,Retail,Ransomware,2019-02-11,4196497.0,5386983.36,Italy,Compromised Vendor,20.8
9387,Jackson and Sons,Tech,Data Breach,2019-04-30,7534198.0,918474.36,UK,Phishing,19.0
9388,Rocha Inc,Tech,Data Breach,2019-07-10,,297002.83,UK,Phishing,29.0
9389,"Brown, Lindsey and Phillips",Manufacturing,Ransomware,2019-09-23,5851867.0,2423028.66,Belgium,DDoS Attack,53.199999999999996
9390,Stewart-Gould,Healthcare,Denial of Service,2018-11-03,,1160190.14,Belgium,Phishing,16.5
9391,"Welch, Moore and Perkins",Tech,Malware,2019-07-19,9893742.0,2373214.88,Netherlands,Phishing,38.0
9392,Johnson-Hopkins,Manufacturing,Malware,2019-10-09,1770568.0,2822315.561,Belgium,Phishing,18.2
9393,Cantu PLC,Healthcare,Data Breach,2019-08-28,4947342.0,2956398.26,Spain,Compromised Vendor,73.5
9394,Nichols PLC,Healthcare,Phishing,2019-11-07,,7991236.2,Sweden,Phishing,84.0
9395,Wilson-Chapman,Telecommunications,Malware,2019-01-07,9365633.0,5242924.332,Italy,Compromised Vendor,44.0
9396,Washington Ltd,Healthcare,Malware,2018-07-06,3674764.0,258397.84,UK,Phishing,15.0
9397,Rios Inc,Retail,Phishing,2019-03-22,,796673.8800000001,Germany,Phishing,38.400000000000006
9398,Henry and Sons,Healthcare,Malware,2019-11-13,8871506.0,2787184.2,Netherlands,Insider Threat,18.0
9399,Joseph-Rowland,Healthcare,Phishing,2019-06-29,,8050901.04,Spain,Spear Phishing,22.5
9400,"Anderson, Martin and Welch",Finance,Ransomware,2019-06-25,7962973.0,2937293.72,Belgium,Insider Threat,17.0
9401,Dunn Inc,Tech,Denial of Service,2019-08-24,8590200.0,4010612.57,Spain,Insider Threat,15.0
9402,"Carter, Wiley and Fernandez",Retail,Supply Chain Attack,2018-03-20,9985649.0,2619617.61,UK,Spear Phishing,33.6
9403,Sanchez-Rodriguez,Tech,Data Breach,2018-02-18,4725030.0,538011.34,Netherlands,Compromised Vendor,48.0
9404,Washington-Chavez,Healthcare,Data Breach,2019-09-20,5117765.0,778438.3,Belgium,Phishing,36.0
9405,"Butler, Webster and Moran",Healthcare,Ransomware,2018-05-25,2345374.0,562120.56,Netherlands,DDoS Attack,85.5
9406,"Hicks, Mccoy and Pratt",Healthcare,Ransomware,2018-11-26,6681143.0,7199136.12,Germany,Phishing,33.0
9407,Adkins and Sons,Tech,Data Breach,2019-09-28,2811960.0,322646.94,Sweden,Compromised Vendor,27.0
9408,Hernandez PLC,Telecommunications,Ransomware,2019-05-18,185597.0,1996322.6879999998,Spain,DDoS Attack,56.1
9409,Reed Ltd,Manufacturing,Phishing,2018-09-16,8897227.0,5826323.503,Belgium,Phishing,22.4
9410,"Lewis, Mooney and Cole",Healthcare,Data Breach,2018-09-28,,255794.78,Belgium,DDoS Attack,75.0
9411,"Nichols, Curry and Davis",Healthcare,Phishing,2019-01-27,6850311.0,9389769.98,Poland,Spear Phishing,30.0
9412,"Garcia, Wood and Little",Telecommunications,Ransomware,2018-09-05,6077281.0,1230067.932,Sweden,DDoS Attack,48.400000000000006
9413,Palmer LLC,Healthcare,Supply Chain Attack,2019-09-18,4993015.0,8876869.62,Sweden,Phishing,40.5
9414,"Price, Leon and Fuller",Healthcare,Denial of Service,2019-12-23,6574721.0,9627991.16,Denmark,Phishing,46.5
9415,"Price, Cortez and Jones",Manufacturing,Supply Chain Attack,2018-09-27,2155713.0,6442370.571,UK,Compromised Vendor,33.599999999999994
9416,Drake PLC,Healthcare,Denial of Service,2018-12-17,8270897.0,3165088.04,Sweden,Phishing,67.5
9417,"Floyd, Morton and Pace",Retail,Data Breach,2019-08-31,,6611665.425000001,Belgium,DDoS Attack,24.0
9418,Huber-Frost,Tech,Data Breach,2019-05-07,,354227.28,UK,Phishing,42.0
9419,Chen and Sons,Healthcare,Ransomware,2018-02-28,,6414306.8,Belgium,Phishing,73.5
9420,"Flores, Murphy and Rosales",Manufacturing,Ransomware,2019-08-11,392270.0,4105236.564,UK,Compromised Vendor,42.0
9421,Stevenson and Sons,Healthcare,Data Breach,2018-07-30,4653498.0,9221821.54,Germany,DDoS Attack,7.5
9422,Baird-Burton,Manufacturing,Ransomware,2019-12-06,8881477.0,714824.305,France,Compromised Vendor,15.399999999999999
9423,Solomon and Sons,Retail,Denial of Service,2018-12-15,5941744.0,766912.9349999999,Belgium,Compromised Vendor,46.400000000000006
9424,Chan-Wood,Healthcare,Malware,2018-02-14,7695662.0,5559681.1,Sweden,DDoS Attack,12.0
9425,Garcia Group,Telecommunications,Phishing,2018-11-19,1936558.0,1016399.004,Sweden,DDoS Attack,56.1
9426,Rios Ltd,Finance,Phishing,2019-09-07,,2889099.23,UK,Phishing,41.0
9427,"Jones, Allen and Price",Energy,Phishing,2018-03-06,3808074.0,2423477.05,UK,Spear Phishing,55.0
9428,Vaughn LLC,Retail,Ransomware,2018-06-04,682901.0,5846611.095,Belgium,Compromised Vendor,34.4
9429,"Garcia, Murray and Cabrera",Healthcare,Ransomware,2019-03-01,4029979.0,6765977.8,France,DDoS Attack,52.5
9430,"Carpenter, Johnson and Reynolds",Healthcare,Malware,2018-05-20,9393804.0,9173212.58,Belgium,Compromised Vendor,30.0
9431,"Ashley, Foley and Scott",Finance,Ransomware,2019-02-09,5041541.0,548432.48,Netherlands,Compromised Vendor,9.0
9432,"Wilkins, Foster and Hernandez",Retail,Denial of Service,2018-08-08,,433126.78500000003,France,Phishing,46.400000000000006
9433,Patel-Brown,Healthcare,Phishing,2019-12-24,5248713.0,2254256.98,UK,Compromised Vendor,39.0
9434,Martinez-Thompson,Healthcare,Supply Chain Attack,2019-11-11,1096073.0,7262627.3,Belgium,DDoS Attack,55.5
9435,Schultz Ltd,Healthcare,Data Breach,2018-11-08,6096149.0,9099311.0,UK,DDoS Attack,10.5
9436,"Mason, Buckley and Smith",Retail,Phishing,2018-05-13,3635713.0,2736577.755,Denmark,Phishing,17.6
9437,Brown and Sons,Healthcare,Ransomware,2019-07-25,8549715.0,9352733.38,Belgium,Compromised Vendor,69.0
